;id_1;id_2;base_name;score_base;ref_1_name;score_ref_1;ref_2_name;score_ref_2
79;1181;1834;DINO;0.96194005;SigLIP;0.3263737;CLIP;0.95127165
80;1212;3416;DINO;0.9539157;SigLIP;0.5778669;CLIP;0.82864213
81;1310;6843;DINO;0.9601872;SigLIP;0.5805234;CLIP;0.8931842
82;1323;5915;DINO;0.9672142;SigLIP;0.54725343;CLIP;0.72894543
83;1323;5271;DINO;0.9605787;SigLIP;0.45906258;CLIP;0.70617723
84;519;1323;DINO;0.95840526;SigLIP;0.5548628;CLIP;0.75183654
85;1323;3534;DINO;0.9576901;SigLIP;0.5275494;CLIP;0.7435472
86;1324;1748;DINO;0.9510609;SigLIP;0.034458824;CLIP;0.7982307
87;1341;1837;DINO;0.9920537;SigLIP;0.5551138;CLIP;0.9548462
88;1341;2909;DINO;0.9683262;SigLIP;0.45094448;CLIP;0.9145141
89;1341;5427;DINO;0.9670975;SigLIP;0.5225724;CLIP;0.9112084
90;1341;3289;DINO;0.96517503;SigLIP;0.5582043;CLIP;0.9219601
91;1443;8124;DINO;0.95139855;SigLIP;0.5047333;CLIP;0.9356946
92;1456;2727;DINO;0.9587304;SigLIP;0.5970229;CLIP;0.9218338
93;1470;2271;DINO;0.9550736;SigLIP;0.33461756;CLIP;0.8793398
94;1500;3454;DINO;0.95100754;SigLIP;0.3483088;CLIP;0.8250092
95;1505;3781;DINO;0.964879;SigLIP;0.19193769;CLIP;0.8352628
96;1520;7991;DINO;0.95477164;SigLIP;0.3146314;CLIP;0.9240608
97;1564;6675;DINO;0.95795596;SigLIP;0.49141425;CLIP;0.9283867
98;1564;2370;DINO;0.9506466;SigLIP;0.3970734;CLIP;0.91449046
99;1592;3470;DINO;0.95388883;SigLIP;0.40586767;CLIP;0.9244889
100;1709;8489;DINO;0.96340716;SigLIP;0.3404417;CLIP;0.9276756
101;1713;4325;DINO;0.9578325;SigLIP;0.5174695;CLIP;0.86668694
102;1713;2853;DINO;0.95151603;SigLIP;0.5284313;CLIP;0.8971567
103;1719;5709;DINO;0.9816005;SigLIP;0.5444118;CLIP;0.93373823
104;1728;7137;DINO;0.9603373;SigLIP;0.34711242;CLIP;0.94957304
105;1736;4122;DINO;0.96492195;SigLIP;0.56181026;CLIP;0.8822966
106;1736;5764;DINO;0.96475685;SigLIP;0.5747139;CLIP;0.92581886
107;1739;4763;DINO;0.9522251;SigLIP;0.5394759;CLIP;0.9272847
108;1748;7638;DINO;0.95557463;SigLIP;0.10495892;CLIP;0.87935483
109;1748;5398;DINO;0.955089;SigLIP;0.07909312;CLIP;0.8567739
110;1748;7121;DINO;0.9540303;SigLIP;0.04019108;CLIP;0.8720424
111;1748;6690;DINO;0.951313;SigLIP;0.03898084;CLIP;0.9011166
112;1798;2439;DINO;0.9515681;SigLIP;0.45422387;CLIP;0.90863687
113;1804;2876;DINO;0.9547869;SigLIP;0.41265118;CLIP;0.92012703
114;1815;5859;DINO;0.95612925;SigLIP;0.42675763;CLIP;0.93953645
115;1834;5636;DINO;0.9631237;SigLIP;0.58367336;CLIP;0.9624193
116;1837;7735;DINO;0.96293855;SigLIP;0.580052;CLIP;0.9249562
117;1839;4727;DINO;0.95849407;SigLIP;0.24786672;CLIP;0.905576
118;1839;5890;DINO;0.95204055;SigLIP;0.34089053;CLIP;0.9266163
119;1846;4971;DINO;0.97113776;SigLIP;0.5938743;CLIP;0.8985454
120;1889;3517;DINO;0.9545531;SigLIP;0.4559616;CLIP;0.93694127
121;1929;2505;DINO;0.9922066;SigLIP;0.5794354;CLIP;0.9417523
122;1973;6634;DINO;0.96847904;SigLIP;0.415387;CLIP;0.8678467
123;2015;2880;DINO;0.96292967;SigLIP;0.45921025;CLIP;0.92484
124;2015;6364;DINO;0.9565345;SigLIP;0.45381382;CLIP;0.861937
125;2015;6742;DINO;0.95158577;SigLIP;0.45457205;CLIP;0.88150096
126;2030;7757;DINO;0.9543915;SigLIP;0.27906713;CLIP;0.92597926
127;2033;3801;DINO;0.95894;SigLIP;0.32387644;CLIP;0.86556387
128;2033;2791;DINO;0.9586999;SigLIP;0.39516252;CLIP;0.9202259
129;2033;6826;DINO;0.95624655;SigLIP;0.2796829;CLIP;0.9265589
130;2043;2994;DINO;0.97254705;SigLIP;0.5015032;CLIP;0.9433882
131;2044;5742;DINO;0.962308;SigLIP;0.27886096;CLIP;0.9389841
132;2056;6981;DINO;0.9586618;SigLIP;0.4007579;CLIP;0.928171
133;2183;4732;DINO;0.9730145;SigLIP;0.5117991;CLIP;0.902066
134;2183;8580;DINO;0.97140193;SigLIP;0.5710286;CLIP;0.9021143
135;2183;4846;DINO;0.9639292;SigLIP;0.57085615;CLIP;0.85468847
136;2193;4327;DINO;0.95113605;SigLIP;0.40660447;CLIP;0.9108051
137;2195;4488;DINO;0.98261106;SigLIP;0.5250041;CLIP;0.9552545
138;2195;8223;DINO;0.9635639;SigLIP;0.53853786;CLIP;0.937866
139;2203;2967;DINO;0.9684192;SigLIP;0.5278324;CLIP;0.88052815
140;2218;8098;DINO;0.9502866;SigLIP;0.5729627;CLIP;0.9458666
141;2219;8267;DINO;0.9555739;SigLIP;0.35563746;CLIP;0.94263923
142;2311;8505;DINO;0.961445;SigLIP;0.34369892;CLIP;0.93937165
143;2337;3430;DINO;0.95751977;SigLIP;0.27178258;CLIP;0.9297964
144;2349;4269;DINO;0.9924201;SigLIP;0.21646431;CLIP;0.96011436
145;2349;4126;DINO;0.95581305;SigLIP;0.22675022;CLIP;0.8157593
146;2350;6006;DINO;0.96373045;SigLIP;0.534482;CLIP;0.8734984
147;2350;7309;DINO;0.9516709;SigLIP;0.46473742;CLIP;0.8827325
148;2356;5687;DINO;0.95381385;SigLIP;0.5775912;CLIP;0.8412626
149;2370;6675;DINO;0.96586525;SigLIP;0.42032194;CLIP;0.92706954
150;2383;4645;DINO;0.95279664;SigLIP;0.5111735;CLIP;0.93411064
151;2390;5278;DINO;0.9632146;SigLIP;0.41481438;CLIP;0.87087286
152;2423;6798;DINO;0.9534356;SigLIP;0.5481157;CLIP;0.9665968
153;2467;6220;DINO;0.99244905;SigLIP;0.50015235;CLIP;0.9566846
154;2467;6722;DINO;0.9917898;SigLIP;0.51035404;CLIP;0.95289505
155;2467;5984;DINO;0.97300065;SigLIP;0.40934536;CLIP;0.93649125
156;2505;6438;DINO;0.9970796;SigLIP;0.59363127;CLIP;0.9814685
157;2505;8367;DINO;0.99667513;SigLIP;0.41424763;CLIP;0.9511155
158;2505;6385;DINO;0.9852708;SigLIP;0.3194692;CLIP;0.97228134
159;2552;2685;DINO;0.9553577;SigLIP;0.41731685;CLIP;0.8884022
160;2565;8272;DINO;0.9501275;SigLIP;-0.0011052787;CLIP;0.8397634
161;2567;7706;DINO;0.9765602;SigLIP;0.4365552;CLIP;0.93697786
162;2590;3913;DINO;0.95374835;SigLIP;0.14611614;CLIP;0.9037273
163;2616;4838;DINO;0.9624127;SigLIP;0.39989585;CLIP;0.8326918
164;2616;8440;DINO;0.9613987;SigLIP;0.45089707;CLIP;0.8704334
165;184;2616;DINO;0.95847243;SigLIP;0.33296087;CLIP;0.8820311
166;2624;3085;DINO;0.97395384;SigLIP;0.43065286;CLIP;0.9413984
167;2680;4168;DINO;0.98990875;SigLIP;0.5368438;CLIP;0.9799942
168;2688;4325;DINO;0.95981646;SigLIP;0.48731834;CLIP;0.8543178
169;2688;5629;DINO;0.95617485;SigLIP;0.4984837;CLIP;0.8554138
170;2692;4131;DINO;0.9831258;SigLIP;0.56445265;CLIP;0.9799325
171;2709;6384;DINO;0.96110594;SigLIP;0.32203114;CLIP;0.8841418
172;1719;2728;DINO;0.9753698;SigLIP;0.508401;CLIP;0.96082807
173;2728;4457;DINO;0.97489774;SigLIP;0.596257;CLIP;0.9445441
174;2728;5152;DINO;0.9727988;SigLIP;-0.081380546;CLIP;0.87539697
175;2728;7561;DINO;0.9723958;SigLIP;0.5426457;CLIP;0.96050084
176;2750;6093;DINO;0.9638784;SigLIP;0.41586995;CLIP;0.93572414
177;2765;3372;DINO;0.98886716;SigLIP;0.5482408;CLIP;0.98654836
178;2766;2937;DINO;0.9815264;SigLIP;0.29759252;CLIP;0.9873186
179;2773;2981;DINO;0.97701824;SigLIP;0.56773937;CLIP;0.93116164
180;2773;6047;DINO;0.96614534;SigLIP;0.37970763;CLIP;0.88811404
181;2773;4838;DINO;0.9620416;SigLIP;0.43156135;CLIP;0.84807247
182;2780;7923;DINO;0.97201097;SigLIP;0.53485024;CLIP;0.9392204
183;844;2791;DINO;0.9571941;SigLIP;0.5736475;CLIP;0.89878565
184;2791;6826;DINO;0.9570743;SigLIP;0.536601;CLIP;0.90282154
185;1404;2791;DINO;0.95171344;SigLIP;0.571409;CLIP;0.9011878
186;2792;5388;DINO;0.96435773;SigLIP;0.5689233;CLIP;0.9369806
187;2821;5536;DINO;0.95113856;SigLIP;0.10964078;CLIP;0.90886486
188;2847;3118;DINO;0.95443445;SigLIP;0.56698406;CLIP;0.8526425
189;2863;3904;DINO;0.95805675;SigLIP;0.2225426;CLIP;0.8996428
190;2880;6742;DINO;0.96299934;SigLIP;0.36490488;CLIP;0.93092716
191;2880;8234;DINO;0.96184576;SigLIP;0.36842355;CLIP;0.92556185
192;2880;6364;DINO;0.9537934;SigLIP;0.32378894;CLIP;0.8419739
193;2886;3932;DINO;0.9699705;SigLIP;0.46527207;CLIP;0.9329843
194;2889;5733;DINO;0.9777348;SigLIP;0.22514401;CLIP;0.9470039
195;2894;8354;DINO;0.96282977;SigLIP;0.39998108;CLIP;0.84791964
196;2894;5796;DINO;0.9558431;SigLIP;0.41604942;CLIP;0.8554383
197;2909;7735;DINO;0.9703562;SigLIP;0.48335594;CLIP;0.9261888
198;2909;5850;DINO;0.9702011;SigLIP;0.58540034;CLIP;0.94072926
199;2916;8381;DINO;0.951524;SigLIP;0.05933526;CLIP;0.91263944
200;2939;5485;DINO;0.9902129;SigLIP;0.5037997;CLIP;0.93441695
201;2981;6047;DINO;0.95941955;SigLIP;0.56207335;CLIP;0.8826488
202;2983;8371;DINO;0.9545876;SigLIP;0.5752509;CLIP;0.9519249
203;3076;4324;DINO;0.95785534;SigLIP;0.5801486;CLIP;0.9285474
204;3143;5549;DINO;0.9531009;SigLIP;0.50676084;CLIP;0.92435455
205;3151;5299;DINO;0.97519994;SigLIP;0.525136;CLIP;0.9572165
206;3190;7864;DINO;0.9531974;SigLIP;0.24954724;CLIP;0.9117781
207;3195;3602;DINO;0.95629656;SigLIP;0.46553412;CLIP;0.92606026
208;3206;6962;DINO;0.9649467;SigLIP;0.52800095;CLIP;0.8762808
209;3221;7824;DINO;0.96306145;SigLIP;0.22384508;CLIP;0.87454414
210;3256;4368;DINO;0.9616857;SigLIP;0.45412445;CLIP;0.94201756
211;3316;5042;DINO;0.96570325;SigLIP;0.5523307;CLIP;0.81904584
212;3319;4876;DINO;0.95444834;SigLIP;0.5349389;CLIP;0.915246
213;3363;6093;DINO;0.96336204;SigLIP;0.25755867;CLIP;0.94602627
214;3363;5432;DINO;0.95693505;SigLIP;0.4272813;CLIP;0.9318856
215;3367;3454;DINO;0.95317006;SigLIP;0.4039911;CLIP;0.7869157
216;3368;6459;DINO;0.9571589;SigLIP;0.54068196;CLIP;0.9136621
217;3390;4876;DINO;0.9775137;SigLIP;0.56663984;CLIP;0.93828845
218;3390;6443;DINO;0.95801365;SigLIP;0.23660515;CLIP;0.9561919
219;3400;5359;DINO;0.95453465;SigLIP;0.42643297;CLIP;0.9301017
220;3416;6180;DINO;0.96728396;SigLIP;0.5458758;CLIP;0.86564416
221;3416;6535;DINO;0.96112204;SigLIP;0.59520996;CLIP;0.89000624
222;3421;5039;DINO;0.9537463;SigLIP;0.40505135;CLIP;0.9212632
223;3425;7331;DINO;0.95861065;SigLIP;0.39986297;CLIP;0.8894449
224;3425;4545;DINO;0.9536676;SigLIP;0.35722083;CLIP;0.86591816
225;3449;5634;DINO;0.9506795;SigLIP;0.4885782;CLIP;0.9573813
226;3451;8049;DINO;0.96907157;SigLIP;0.5886611;CLIP;0.9329212
227;3478;8192;DINO;0.95992154;SigLIP;0.22533077;CLIP;0.95619047
228;3490;6126;DINO;0.9561629;SigLIP;0.39444488;CLIP;0.9625388
229;3513;4052;DINO;0.9676594;SigLIP;0.52439165;CLIP;0.9390738
230;3527;8601;DINO;0.96171355;SigLIP;0.5697154;CLIP;0.923268
231;3534;6573;DINO;0.9768727;SigLIP;0.52737164;CLIP;0.9210782
232;3557;5152;DINO;0.9673708;SigLIP;-0.13295126;CLIP;0.8584325
233;1719;3557;DINO;0.96648407;SigLIP;0.4324492;CLIP;0.88938195
234;2085;3557;DINO;0.96574664;SigLIP;0.47537366;CLIP;0.91467226
235;3557;7561;DINO;0.96064144;SigLIP;0.42091635;CLIP;0.88243604
236;3640;6619;DINO;0.9510411;SigLIP;0.39167196;CLIP;0.88948417
237;3646;8550;DINO;0.9514061;SigLIP;0.44072628;CLIP;0.96430993
238;3649;6443;DINO;0.96761596;SigLIP;0.29920882;CLIP;0.94566
239;3649;4975;DINO;0.9564457;SigLIP;0.5961851;CLIP;0.90906394
240;3416;3676;DINO;0.95887077;SigLIP;0.5355527;CLIP;0.87346804
241;2616;3676;DINO;0.9552827;SigLIP;0.35070944;CLIP;0.82328
242;3685;4475;DINO;0.965661;SigLIP;0.57247937;CLIP;0.9283367
243;3689;6276;DINO;0.97462595;SigLIP;0.5276501;CLIP;0.9418379
244;3698;3699;DINO;0.9883801;SigLIP;0.50102556;CLIP;0.9364453
245;3698;5339;DINO;0.9557184;SigLIP;0.35799837;CLIP;0.7819483
246;3699;5339;DINO;0.9518423;SigLIP;0.42844558;CLIP;0.83362794
247;3792;6535;DINO;0.95938075;SigLIP;0.5925267;CLIP;0.79042137
248;3792;6180;DINO;0.95486206;SigLIP;0.38958597;CLIP;0.75336385
249;3824;4467;DINO;0.968202;SigLIP;0.5332434;CLIP;0.96762836
250;3890;7035;DINO;0.9771626;SigLIP;0.5063088;CLIP;0.9472143
251;3890;7364;DINO;0.9758212;SigLIP;0.41996855;CLIP;0.9435911
252;3890;5709;DINO;0.96738124;SigLIP;0.49688867;CLIP;0.9308703
253;3900;5387;DINO;0.9850577;SigLIP;0.23734567;CLIP;0.950199
254;3949;8273;DINO;0.9721247;SigLIP;0.5321862;CLIP;0.9799705
255;3949;4583;DINO;0.95753527;SigLIP;0.42332503;CLIP;0.97337663
256;3997;8305;DINO;0.9808961;SigLIP;0.30382952;CLIP;0.94960374
257;4122;4280;DINO;0.9627572;SigLIP;0.5824411;CLIP;0.8674431
258;4126;4269;DINO;0.9589197;SigLIP;0.42793244;CLIP;0.80000013
259;4184;6342;DINO;0.9721515;SigLIP;0.5478799;CLIP;0.94801503
260;4188;4234;DINO;0.9521295;SigLIP;0.57878894;CLIP;0.9202507
261;4190;4583;DINO;0.9619344;SigLIP;0.29745317;CLIP;0.94172335
262;179;4190;DINO;0.95540196;SigLIP;0.3798524;CLIP;0.94582856
263;4258;5079;DINO;0.9721669;SigLIP;0.32091862;CLIP;0.9475399
264;4349;6888;DINO;0.9585495;SigLIP;0.45623755;CLIP;0.95157796
265;4364;6475;DINO;0.9556428;SigLIP;0.31237435;CLIP;0.9524322
266;4379;5360;DINO;0.9577141;SigLIP;0.19881377;CLIP;0.7978145
267;4379;6529;DINO;0.9501997;SigLIP;0.22223863;CLIP;0.80844325
268;4533;4632;DINO;0.96470237;SigLIP;0.15248217;CLIP;0.89444494
269;4537;8440;DINO;0.9594724;SigLIP;0.5290593;CLIP;0.8995718
270;2880;4537;DINO;0.95165527;SigLIP;0.35651496;CLIP;0.92941386
271;4537;6742;DINO;0.9503324;SigLIP;0.5513965;CLIP;0.9046612
272;4545;7331;DINO;0.97736883;SigLIP;0.56726843;CLIP;0.9187205
273;1719;4562;DINO;0.96702766;SigLIP;0.5815574;CLIP;0.94179696
274;519;4562;DINO;0.9623693;SigLIP;0.53703976;CLIP;0.8882718
275;4562;6573;DINO;0.961925;SigLIP;0.52355516;CLIP;0.8987305
276;4563;4903;DINO;0.9509414;SigLIP;0.38811165;CLIP;0.9519377
277;4564;6980;DINO;0.9713553;SigLIP;0.18436357;CLIP;0.87775576
278;4583;8550;DINO;0.9565811;SigLIP;0.34485903;CLIP;0.95536697
279;4642;4862;DINO;0.9731959;SigLIP;0.57208925;CLIP;0.95939887
280;4658;5495;DINO;0.9670985;SigLIP;0.14965135;CLIP;0.94533145
281;4700;4838;DINO;0.9553174;SigLIP;0.3918764;CLIP;0.79703665
282;4700;6180;DINO;0.95439065;SigLIP;0.3583299;CLIP;0.8639277
283;275;4700;DINO;0.9531083;SigLIP;0.34962615;CLIP;0.8386519
284;4727;6239;DINO;0.9557295;SigLIP;0.06748812;CLIP;0.9121131
285;4732;6047;DINO;0.9685248;SigLIP;0.54206854;CLIP;0.9115596
286;4732;5357;DINO;0.9619587;SigLIP;0.4587536;CLIP;0.9335242
287;4584;4770;DINO;0.96375763;SigLIP;0.5916676;CLIP;0.848306
288;4584;4791;DINO;0.9577552;SigLIP;0.59713036;CLIP;0.8866331
289;4807;5818;DINO;0.9626498;SigLIP;0.29810888;CLIP;0.8788153
290;4838;6180;DINO;0.97192985;SigLIP;0.59133476;CLIP;0.85770565
291;4838;8440;DINO;0.96271926;SigLIP;0.51154405;CLIP;0.8804883
292;1341;4843;DINO;0.95952606;SigLIP;-0.021174477;CLIP;0.82823205
293;4843;5427;DINO;0.9579289;SigLIP;0.0031243116;CLIP;0.8446553
294;1837;4843;DINO;0.95386016;SigLIP;-0.07064593;CLIP;0.8342807
295;3289;4843;DINO;0.95278543;SigLIP;-0.015753105;CLIP;0.8278967
296;4846;6047;DINO;0.9650004;SigLIP;0.58206594;CLIP;0.8783663
297;4846;7941;DINO;0.9609573;SigLIP;0.46741024;CLIP;0.8400077
298;3416;4846;DINO;0.96002996;SigLIP;0.5675117;CLIP;0.8889253
299;4876;7175;DINO;0.968305;SigLIP;0.5736853;CLIP;0.91068906
300;4876;6443;DINO;0.96807307;SigLIP;0.41864353;CLIP;0.9646364
301;4900;7685;DINO;0.9616977;SigLIP;0.49477297;CLIP;0.914907
302;4912;8596;DINO;0.9923098;SigLIP;0.18479751;CLIP;0.9787719
303;4938;6364;DINO;0.95436454;SigLIP;0.35604978;CLIP;0.75731975
304;275;4938;DINO;0.95245993;SigLIP;0.25800073;CLIP;0.77667296
305;3534;4942;DINO;0.971117;SigLIP;0.47071314;CLIP;0.88460815
306;4942;6573;DINO;0.96918476;SigLIP;0.37476885;CLIP;0.8925758
307;4942;5709;DINO;0.9667827;SigLIP;0.5585655;CLIP;0.91107213
308;4971;7561;DINO;0.9744965;SigLIP;0.53818405;CLIP;0.91787165
309;4971;6450;DINO;0.96989;SigLIP;0.5210355;CLIP;0.6489136
310;4975;7175;DINO;0.9701474;SigLIP;0.5341925;CLIP;0.9353745
311;4975;6443;DINO;0.96504116;SigLIP;0.4233591;CLIP;0.9238862
312;3390;4975;DINO;0.95674026;SigLIP;0.5121352;CLIP;0.9264015
313;5051;7735;DINO;0.957551;SigLIP;0.5337617;CLIP;0.9220162
314;5065;5462;DINO;0.95498013;SigLIP;0.3844896;CLIP;0.8888967
315;5093;6644;DINO;0.9811115;SigLIP;0.3477201;CLIP;0.91727567
316;5152;7561;DINO;0.9734186;SigLIP;-0.12094332;CLIP;0.87066305
317;5152;6450;DINO;0.9704302;SigLIP;-0.111176886;CLIP;0.6829138
318;2085;5152;DINO;0.9696609;SigLIP;-0.13312869;CLIP;0.8802194
319;943;5196;DINO;0.9640348;SigLIP;0.4506998;CLIP;0.60909975
320;5196;7735;DINO;0.96255946;SigLIP;0.3620366;CLIP;0.63629985
321;5196;5632;DINO;0.9552121;SigLIP;0.41891876;CLIP;0.595543
322;5196;5850;DINO;0.95502424;SigLIP;0.3364873;CLIP;0.610653
323;5220;7369;DINO;0.96779525;SigLIP;0.5527199;CLIP;0.92206883
324;5240;8194;DINO;0.95913106;SigLIP;0.26408762;CLIP;0.9572967
325;5268;8578;DINO;0.97446305;SigLIP;0.3951963;CLIP;0.96200037
326;3534;5271;DINO;0.97044444;SigLIP;0.41213688;CLIP;0.7011
327;835;5271;DINO;0.96894705;SigLIP;0.4958228;CLIP;0.70234615
328;5271;6573;DINO;0.96820056;SigLIP;0.40382814;CLIP;0.7109319
